class,value,class start,class stop,
65,2508,0.354966659099,0.360513000342,
66,2488,0.360513000342,0.366059341584,
67,2436,0.366059341584,0.371605682827,
68,2298,0.371605682827,0.377152024070,
69,2289,0.377152024070,0.382698365313,
70,2308,0.382698365313,0.388244706555,
71,2256,0.388244706555,0.393791047798,
72,2103,0.393791047798,0.399337389041,
73,2030,0.399337389041,0.404883730283,
74,1991,0.404883730283,0.410430071526,
75,2014,0.410430071526,0.415976412769,
76,1842,0.415976412769,0.421522754012,
77,1823,0.421522754012,0.427069095254,
78,1702,0.427069095254,0.432615436497,
79,1732,0.432615436497,0.438161777740,
80,1553,0.438161777740,0.443708118983,
81,1622,0.443708118983,0.449254460225,
82,1570,0.449254460225,0.454800801468,
83,1554,0.454800801468,0.460347142711,
84,1446,0.460347142711,0.465893483954,
85,1456,0.465893483954,0.471439825196,
86,1393,0.471439825196,0.476986166439,
87,1406,0.476986166439,0.482532507682,
88,1364,0.482532507682,0.488078848924,
89,1359,0.488078848924,0.493625190167,
90,1268,0.493625190167,0.499171531410,
91,1305,0.499171531410,0.504717872653,
92,1161,0.504717872653,0.510264213895,
93,1127,0.510264213895,0.515810555138,
94,1132,0.515810555138,0.521356896381,
95,1167,0.521356896381,0.526903237624,
96,1173,0.526903237624,0.532449578866,
97,1074,0.532449578866,0.537995920109,
98,1075,0.537995920109,0.543542261352,
99,989,0.543542261352,0.549088602595,
100,1031,0.549088602595,0.554634943837,
101,990,0.554634943837,0.560181285080,
102,925,0.560181285080,0.565727626323,
103,972,0.565727626323,0.571273967566,
104,958,0.571273967566,0.576820308808,
105,885,0.576820308808,0.582366650051,
106,938,0.582366650051,0.587912991294,
107,875,0.587912991294,0.593459332536,
108,867,0.593459332536,0.599005673779,
109,889,0.599005673779,0.604552015022,
110,857,0.604552015022,0.610098356265,
111,832,0.610098356265,0.615644697507,
112,785,0.615644697507,0.621191038750,
113,795,0.621191038750,0.626737379993,
114,808,0.626737379993,0.632283721236,
115,760,0.632283721236,0.637830062478,
116,742,0.637830062478,0.643376403721,
117,725,0.643376403721,0.648922744964,
118,675,0.648922744964,0.654469086207,
119,691,0.654469086207,0.660015427449,
120,737,0.660015427449,0.665561768692,
121,679,0.665561768692,0.671108109935,
122,677,0.671108109935,0.676654451177,
123,647,0.676654451177,0.682200792420,
124,623,0.682200792420,0.687747133663,
125,674,0.687747133663,0.693293474906,
126,641,0.693293474906,0.698839816148,
127,589,0.698839816148,0.704386157391,
128,642,0.704386157391,0.709932498634,
129,621,0.709932498634,0.715478839877,
130,597,0.715478839877,0.721025181119,
131,533,0.721025181119,0.726571522362,
132,583,0.726571522362,0.732117863605,
133,550,0.732117863605,0.737664204848,
134,585,0.737664204848,0.743210546090,
135,622,0.743210546090,0.748756887333,
136,578,0.748756887333,0.754303228576,
137,560,0.754303228576,0.759849569818,
138,566,0.759849569818,0.765395911061,
139,525,0.765395911061,0.770942252304,
140,507,0.770942252304,0.776488593547,
141,529,0.776488593547,0.782034934789,
142,487,0.782034934789,0.787581276032,
143,506,0.787581276032,0.793127617275,
144,500,0.793127617275,0.798673958518,
145,466,0.798673958518,0.804220299760,
146,436,0.804220299760,0.809766641003,
147,475,0.809766641003,0.815312982246,
148,453,0.815312982246,0.820859323489,
149,476,0.820859323489,0.826405664731,
150,432,0.826405664731,0.831952005974,
151,432,0.831952005974,0.837498347217,
152,497,0.837498347217,0.843044688459,
153,449,0.843044688459,0.848591029702,
154,436,0.848591029702,0.854137370945,
155,433,0.854137370945,0.859683712188,
156,409,0.859683712188,0.865230053430,
157,423,0.865230053430,0.870776394673,
158,401,0.870776394673,0.876322735916,
159,407,0.876322735916,0.881869077159,
160,384,0.881869077159,0.887415418401,
161,433,0.887415418401,0.892961759644,
162,401,0.892961759644,0.898508100887,
163,370,0.898508100887,0.904054442130,
164,425,0.904054442130,0.909600783372,
165,375,0.909600783372,0.915147124615,
166,378,0.915147124615,0.920693465858,
167,401,0.920693465858,0.926239807101,
168,358,0.926239807101,0.931786148343,
169,370,0.931786148343,0.937332489586,
170,337,0.937332489586,0.942878830829,
171,336,0.942878830829,0.948425172071,
172,333,0.948425172071,0.953971513314,
173,342,0.953971513314,0.959517854557,
174,345,0.959517854557,0.965064195800,
175,310,0.965064195800,0.970610537042,
176,301,0.970610537042,0.976156878285,
177,315,0.976156878285,0.981703219528,
178,333,0.981703219528,0.987249560771,
179,350,0.987249560771,0.992795902013,
180,339,0.992795902013,0.998342243256,
181,286,0.998342243256,1.003888584499,
182,282,1.003888584499,1.009434925742,
183,315,1.009434925742,1.014981266984,
184,297,1.014981266984,1.020527608227,
185,322,1.020527608227,1.026073949470,
186,333,1.026073949470,1.031620290712,
187,310,1.031620290712,1.037166631955,
188,316,1.037166631955,1.042712973198,
189,292,1.042712973198,1.048259314441,
190,294,1.048259314441,1.053805655683,
191,314,1.053805655683,1.059351996926,
192,315,1.059351996926,1.064898338169,
193,264,1.064898338169,1.070444679412,
194,283,1.070444679412,1.075991020654,
195,286,1.075991020654,1.081537361897,
196,270,1.081537361897,1.087083703140,
197,259,1.087083703140,1.092630044383,
198,252,1.092630044383,1.098176385625,
199,278,1.098176385625,1.103722726868,
200,318,1.103722726868,1.109269068111,
201,257,1.109269068111,1.114815409353,
202,262,1.114815409353,1.120361750596,
203,271,1.120361750596,1.125908091839,
204,255,1.125908091839,1.131454433082,
205,226,1.131454433082,1.137000774324,
206,240,1.137000774324,1.142547115567,
207,253,1.142547115567,1.148093456810,
208,225,1.148093456810,1.153639798053,
209,261,1.153639798053,1.159186139295,
210,255,1.159186139295,1.164732480538,
211,266,1.164732480538,1.170278821781,
212,236,1.170278821781,1.175825163024,
213,215,1.175825163024,1.181371504266,
214,207,1.181371504266,1.186917845509,
215,217,1.186917845509,1.192464186752,
216,200,1.192464186752,1.198010527994,
217,209,1.198010527994,1.203556869237,
218,210,1.203556869237,1.209103210480,
219,224,1.209103210480,1.214649551723,
